04/29/19:32:13,-57,-57.0,0.1
04/29/19:32:15,-52,-54.40384615384615,0.051923076923076926
04/29/19:32:17,-51,-53.12842712842713,0.03746993746993747
04/29/19:32:18,-51,-52.46313882128875,0.03125727436250132
04/29/19:32:20,-51,-52.050673171643474,0.02819046584260332
04/29/19:32:22,-58,-53.631612836076044,0.026573420994410138
04/29/19:32:23,-51,-52.95552198690509,0.025691121425713205
04/29/19:32:25,-52,-52.71472359324627,0.025200717195295583
04/29/19:32:27,-51,-52.28732309356276,0.024925329153158773
04/29/19:32:29,-51,-51.96845582536003,0.024769793208653003
04/29/19:32:30,-51,-51.72942482017582,0.024681663213223487
04/29/19:32:32,-52,-51.796071911316524,0.024631635164765048
04/29/19:32:34,-55,-52.58434095703991,0.02460320656095928
04/29/19:32:36,-53,-52.68653922198404,0.02458704235479494
04/29/19:32:37,-52,-52.51780265234886,0.024577848465458622
04/29/19:32:39,-52,-52.39056498377538,0.024572618157961995
04/29/19:32:41,-52,-52.294604564051085,0.024569642366986597
04/29/19:32:42,-52,-52.22222626446826,0.024567949181627507
04/29/19:32:44,-52,-52.167631969748435,0.02456698574781986
04/29/19:32:46,-52,-52.126450766608905,0.02456643753654589
04/29/19:32:48,-52,-52.095386712473164,0.024566125590851744
04/29/19:32:49,-52,-52.071954062207084,0.024565948084929998
04/29/19:32:51,-52,-52.0542779373184,0.02456584707866776
04/29/19:32:53,-52,-52.040944133435964,0.02456578960291515
04/29/19:32:54,-52,-52.03088589715235,0.024565756897357946
